Threshold,MCC Score,F1 Score,Precision,Recall
-0.3,0.5294767258589873,0.5344832667906243,0.37312368758689257,0.9417477257173619
-0.25555555555555554,0.5921537770049727,0.6075632588545551,0.45701894559311085,0.9060062094872865
-0.21111111111111108,0.6409639684973174,0.6675632534120668,0.5507598425183526,0.8472441137553914
-0.16666666666666666,0.6813394895325147,0.7129719686637267,0.6580269814743885,0.7779287010082673
-0.1222222222222222,0.7399341873374834,0.7630391638463211,0.8083336342573447,0.7225514448498662
-0.07777777777777775,0.7639004935399142,0.7739463699273033,0.913670386374362,0.6712888135256138
-0.033333333333333326,0.7491131149649424,0.7485811768831249,0.9599197956034208,0.6135092662033284
0.011111111111111127,0.7186319109932149,0.7076261460198341,0.9831802925482593,0.5527171257576061
0.05555555555555558,0.6795347039238736,0.6587710808209508,0.9890915167160789,0.49384491796391083
0.1,0.6230583980200224,0.5876357072267137,0.990738602544376,0.41768980208723533
